limit_m,limit_cm,synthetic_area,total_area,area_lt_1m
0.01,1.0,18187.948537818178,18701.008134238244,3135.529729686741
0.013894954943731374,1.3894954943731375,18042.69920981559,18555.758806235655,2990.2804016841524
0.019306977288832496,1.9306977288832496,17888.179878995885,18401.23947541595,2835.761070864446
0.02682695795279726,2.682695795279726,17723.79892160829,18236.858518028355,2671.380113476853
0.037275937203149395,3.7275937203149394,17548.9269556975,18061.986552117567,2496.5081475660645
0.0517947467923121,5.17947467923121,17362.894431325476,17875.95402774554,2310.47562319404
0.07196856730011521,7.196856730011521,17164.989066998052,17678.048663418118,2112.5702588666154
0.1,10.0,16954.453122480918,17467.512718900984,1902.034314349481
0.13894954943731375,13.894954943731374,16730.48049756314,17243.540093983207,1678.0616894317068
0.19306977288832497,19.306977288832496,16492.213645659973,17005.27324208004,1439.7948375285368
0.2682695795279725,26.826957952797247,16238.740290437705,16751.79988685777,1186.3214823062683
0.372759372031494,37.275937203149404,15969.08993288925,16482.149529309314,916.6711247578128
0.517947467923121,51.7947467923121,15682.23013548668,16195.289731906745,629.8113273552422
0.7196856730011517,71.96856730011517,15377.062569183501,15890.122165603567,324.6437610520648
1.0,100.0,15052.418808131437,15565.478404551503,0.0
